"lon","lat","boats_tcb_gCm3","feisty_tcb_gCm3","feisty_b10_gCm3"
-49.5,89.5,0.148933871711294,0.480628591803315,0.311735534898623
-48.5,89.5,0.148962565883994,0.480627055674222,0.311740963844408
-47.5,89.5,0.148991106450558,0.480625241769124,0.311746145140917
-46.5,89.5,0.149019606783986,0.480623184526869,0.311751110386859
-45.5,89.5,0.149048020318151,0.480620849048261,0.311755832893513
-44.5,89.5,0.149076385051012,0.480618270624892,0.311760334999316
-43.5,89.5,0.149104707936446,0.480615420054172,0.311764602287129
-42.5,89.5,0.149132880941033,0.480612298932528,0.311768629595091
-41.5,89.5,0.149160960440834,0.480608926190837,0.31177243152749
-40.5,89.5,0.149188989649216,0.480605280802089,0.31177599426904
-39.5,89.5,0.149216884871324,0.480601372867156,0.311779324055265
-38.5,89.5,0.149244664485256,0.480597186661171,0.311782406935511
-37.5,89.5,0.149272308001916,0.480592733726834,0.311785252827806
-36.5,89.5,0.149299815793832,0.480588044573,0.311787890046566
-35.5,89.5,0.149327213938038,0.480583055011792,0.311790261844116
