MON,lat,lon,depth,carbon_ugC_l,SST,BATHY,CHLO,logchlo,logdepth,logBiom
9,69.4,35.27,121.5,0.4752,9.234999794,-157.48032,0.934895873,-0.029236757,2.084576278,-0.323123568
9,69.155,36.11,5,0.399,8.9349998,-188.97638,1.504974008,0.177528999,0.698970004,-0.399027104
9,76.6,72.12,5,0.42,3.10999993,-125.98425,8.663444519,0.937690599,0.698970004,-0.37675071
9,69.47,34.55,5,0.588,9.259999793,-125.98425,1.069192886,0.029056061,0.698970004,-0.230622674
9,72.98,64.05,5,1.68,4.694999895,-62.992126,1.31872046,0.120152744,0.698970004,0.225309282
9,72,63.47,5,4.2,5.37999988,-94.48819,1.606631994,0.205916411,0.698970004,0.62324929
9,74.5,68.33,5,6.3,4.649999896,-62.992126,3.700844765,0.568300869,0.698970004,0.799340549
9,75.572,64.942,5,12.6,3.364999925,-251.9685,2.528077126,0.402790319,0.698970004,1.100370545
8,71.22,65.67,5,16.8,6.289999859,-125.98425,1.353737116,0.131534336,0.698970004,1.225309282
8,78.33,79.17,12.5,0.42,2.329999948,-62.992126,1.028438091,0.012178154,1.096910013,-0.37675071
9,69.47,34.55,17.5,0.126,9.259999793,-125.98425,1.069192886,0.029056061,1.243038049,-0.899629455
9,76.5,72.47,17.5,0.84,3.164999929,-125.98425,2.540636063,0.404942458,1.243038049,-0.075720714
9,72.98,64.05,17.5,2.793,4.694999895,-62.992126,1.31872046,0.120152744,1.243038049,0.446070936
9,74.515,61.8,17.5,2.793,3.784999915,-314.96063,2.55090189,0.406693756,1.243038049,0.446070936
9,74.5,60.12,17.5,4.2,3.349999925,-251.9685,2.62691474,0.419445977,1.243038049,0.62324929
9,72,63.47,17.5,5.586,5.37999988,-94.48819,1.606631994,0.205916411,1.243038049,0.747100931
9,72,56.57,17.5,5.586,4.094999908,-94.48819,1.389315605,0.142800914,1.243038049,0.747100931
9,74.5,65.1,17.5,5.586,4.084999909,-125.98425,2.232220173,0.348737029,1.243038049,0.747100931
9,76.025,67.4,17.5,8.379,2.939999934,0,2.328981161,0.367165976,1.243038049,0.92319219
8,71.98,66.97,17.5,13.986,6.674999851,0,2.243621826,0.350949656,1.243038049,1.145693524
