"","X","MON","YEAR","lat","lon","depth","biomass_mgC_m3","SST","BATHY","CHLO","logchlo","logdepth","logBiom"
"4111",4111,7,"Core data repeated from above - different types of ciliates",-41.5,171.6,2,6.39,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,0.301029995663981,0.8055008581584
"4112",4112,6,"Core data repeated from above - different types of ciliates",-41.5,171.6,11,7.14,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,1.04139268515823,0.853698211776174
"4113",4113,7,"Core data repeated from above - different types of ciliates",-41.5,171.6,16,0.09,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,1.20411998265592,-1.04575749056068
"4114",4114,6,"Core data repeated from above - different types of ciliates",-41.5,171.6,26,3.85,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,1.41497334797082,0.585460729508501
"4115",4115,7,"Core data repeated from above - different types of ciliates",-41.5,171.6,46,4.23,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,1.66275783168157,0.626340367375042
"4116",4116,6,"Core data repeated from above - different types of ciliates",-41.5,171.6,61,5.1,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,1.78532983501077,0.707570176097936
"4152",4152,7,"",-41.5,171.5,11,0.68,13.0949997073039,-94.48819,0.821012020111084,-0.0856504845008984,1.04139268515823,-0.167491087293764
"4153",4153,6,"",-41.5,171.5,11,0.04,13.9549996880814,-94.48819,1.04692006111145,0.0199135218473393,1.04139268515823,-1.39794000867204
"4154",4154,7,"",-41.5,171.5,11,1.59,13.0949997073039,-94.48819,0.821012020111084,-0.0856504845008984,1.04139268515823,0.201397124320452
"4155",4155,7,"",-41.5,171.5,11,0.05,13.0949997073039,-94.48819,0.821012020111084,-0.0856504845008984,1.04139268515823,-1.30102999566398
"4156",4156,7,"",-41.5,171.5,11,3.74,13.0949997073039,-94.48819,0.821012020111084,-0.0856504845008984,1.04139268515823,0.57287160220048
"4157",4157,6,"Core data repeated - flag grazing rate on bact versus pico.",-41.5,171.5,11,8.8,13.9549996880814,-94.48819,1.04692006111145,0.0199135218473393,1.04139268515823,0.944482672150169
"4158",4158,7,"Core data repeated - flag grazing rate on bact versus pico.",-41.5,171.5,11,8.8,13.0949997073039,-94.48819,0.821012020111084,-0.0856504845008984,1.04139268515823,0.944482672150169
"4159",4159,7,"Core data repeated - flag grazing rate on bact versus pico.",-42.5,170.5,11,18.16,13.6199996955693,-409.44882,0.360948175191879,-0.4425551494625,1.04139268515823,1.25911584418507
"4160",4160,6,"Core data repeated - flag grazing rate on bact versus pico.",-42.5,170.5,11,18.16,14.5799996741116,-409.44882,0.447864949703217,-0.348852924485689,1.04139268515823,1.25911584418507
"4161",4161,6,"Core data repeated - flag grazing rate on bact versus pico.",-42,168.5,11,5.01,13.7349996929988,-1322.8346,0.381962299346924,-0.417979500945899,1.04139268515823,0.699837725867246
"4162",4162,7,"Core data repeated - flag grazing rate on bact versus pico.",-42,168.5,11,9.47,13.0599997080863,-1322.8346,0.258073270320892,-0.588256974740482,1.04139268515823,0.976349979003273
"4163",4163,7,"Core data repeated - flag grazing rate on bact versus pico.",-42.5,169.5,11,9.62,13.2299997042865,-1007.874,0.308301657438278,-0.511024140488012,1.04139268515823,0.983175072037813
"4164",4164,6,"Core data repeated - flag grazing rate on bact versus pico.",-42.5,169.5,11,5.16,14.1049996847287,-1007.874,0.406338423490524,-0.391112108707514,1.04139268515823,0.712649701627211
"4165",4165,6,"Core data repeated - flag grazing rate on bact versus pico.",-41.9,169.5,11,7.76,14.1199996843934,-976.3779,0.339609116315842,-0.469020660263992,1.04139268515823,0.889861721258188
"4166",4166,7,"Core data repeated - flag grazing rate on bact versus pico.",-41.9,169.5,11,3.65,13.1699997056276,-976.3779,0.278411239385605,-0.555313236358097,1.04139268515823,0.562292864456475
"4167",4167,7,"Core data repeated - flag grazing rate on bact versus pico.",-41.9,169.5,11,8.76,13.1699997056276,-976.3779,0.278411239385605,-0.555313236358097,1.04139268515823,0.942504106168081
"4168",4168,6,"Core data repeated - flag grazing rate on bact versus pico.",-41.9,169.5,11,8.76,14.1199996843934,-976.3779,0.339609116315842,-0.469020660263992,1.04139268515823,0.942504106168081
